LanguagePack en-US|Translation
nimbits-pricerequests.popup.name|Name
nimbits-pricerequests.popup.optional|(optional)
nimbits-pricerequests.popup.phonenumber|Phone
nimbits-pricerequests.popup.popupTitle|Request an offer
nimbits-pricerequests.popup.product|Product(s) in this request:
nimbits-pricerequests.popup.quantityProductTitleSeperator|x 
nimbits-pricerequests.popup.request|Request
nimbits-pricerequests.popup.requestbutton|Request
nimbits-pricerequests.popup.required|*
nimbits-pricerequests.popup.requiredtext|Fields marked with * are mandatory.
nimbits-pricerequests.popup.salutation|Salutation
nimbits-pricerequests.popup.street|Street
nimbits-pricerequests.popup.surname|Surname
nimbits-pricerequests.popup.text|Request an offer for the choosen products
nimbits-pricerequests.popup.zipcode|Zipcode
nimbits-pricerequests.search.text.priceonrequest|Price on request
nimbits-pricerequests.toasts.error|Request wasn't send - a error occured. Please try again.
nimbits-pricerequests.toasts.success|Request sent successfully
priceRequest.newsletterText|I hereby agree that TENTE may also inform me via e-mail and telephone about products and events (eg trade fair appearances) of TENTE.
priceRequest.sendRequestText|Request will be transmitted...
priceRequest.waitText|Please wait...
socialMedia.facebook|https://www.facebook.com/tenteworld
socialMedia.instagram|https://www.instagram.com/tente_australia/?hl=de
socialMedia.linkedin|https://www.linkedin.com/company//tente-rollen-gmbh/
socialMedia.twitter|https://twitter.com/tenteworld
socialMedia.xing|https://www.xing.com/pages/tenteinternationalgmbh
socialMedia.youtube|https://www.youtube.com/TENTEinternational
swagCmsExtensions.form.component.select.defaultPlaceholder|Select option...
theme.compilation.async.success|Compilation for sales channel %salesChannelName% completed
vdct-simple-events.events.detail.to-event|To the event
zeobv-store-switcher.switchStoreLabel|Switch store
