LanguagePack en-US|Translation
cbaxLexicon.page.listing.metaKeywordsZ|Lexicon Meta Keywords Listing Z
cbaxLexicon.page.listing.metaTitle09|0-9
cbaxLexicon.page.listing.metaTitleA|A
cbaxLexicon.page.listing.metaTitleB|B
cbaxLexicon.page.listing.metaTitleC|C
cbaxLexicon.page.listing.metaTitleD|D
cbaxLexicon.page.listing.metaTitleE|E
cbaxLexicon.page.listing.metaTitleF|F
cbaxLexicon.page.listing.metaTitleG|G
cbaxLexicon.page.listing.metaTitleH|H
cbaxLexicon.page.listing.metaTitleI|I
cbaxLexicon.page.listing.metaTitleJ|J
cbaxLexicon.page.listing.metaTitleK|K
cbaxLexicon.page.listing.metaTitleL|L
cbaxLexicon.page.listing.metaTitleM|M
cbaxLexicon.page.listing.metaTitleN|N
cbaxLexicon.page.listing.metaTitleO|O
cbaxLexicon.page.listing.metaTitleP|P
cbaxLexicon.page.listing.metaTitleQ|Q
cbaxLexicon.page.listing.metaTitleR|R
cbaxLexicon.page.listing.metaTitleS|S
cbaxLexicon.page.listing.metaTitleT|T
cbaxLexicon.page.listing.metaTitleU|U
cbaxLexicon.page.listing.metaTitleV|V
cbaxLexicon.page.listing.metaTitleW|W
cbaxLexicon.page.listing.metaTitleX|X
cbaxLexicon.page.listing.metaTitleY|Y
cbaxLexicon.page.listing.metaTitleZ|Z
cbaxLexicon.page.navigation.linkContent|Table of Contents
cbaxLexicon.page.navigation.linkIndex|Start Page
cbaxLexicon.page.pagination.toOverview|To overview
cbaxLexicon.page.sidebar.title|Lexicon:
checkout.confirmRevocationReminder|You have already declared that you waive the right of withdrawal.
checkout.confirmRevocationTerms|I want immediate access to the digital content and I acknowledge that thereby I waive my right to cancel.
checkout.confirmTermsReminderText|"You have already accepted the <a data-ajax-modal=""true"" data-url=""%url%"" href=""%url%"" title=""general terms and conditions"">general terms and conditions</a>."
checkout.confirmTermsText|"I have read and accepted the <a data-ajax-modal=""true"" data-url=""%url%"" href=""%url%"" title=""general terms and conditions"">general terms and conditions</a>."
checkout.lineItemUnitPriceDescriptor|unit
checkout.merchant-not-selected|Please chose your local merchant to proceed the checkout.
checkout.or|or
CmsElements.callToAction.elementError|This Element is not available for the sidebar. Please select another <p class='h5 my-2'>Call to Action</p> for your Sidebar.
CmsElements.counter.days|DAYS
CmsElements.counter.hours|HRS
CmsElements.counter.seconds|SEC
CmsElements.htmlVideo.hint.content|You have not uploaded a valid video. Check the settings of the element.
CmsElements.htmlVideo.hint.headline|Wrong format / No video
CmsElements.placeholder.label|Replace element
CmsElements.shopTheLook.addAllProducts|Add Products to shopping cart
CmsElements.shopTheLook.totalDiscount|Savings:
component.cms.imageGallery.sliderDotLabel|Show image %index% of %total%
component.cms.vimeo.privacyNoticeText|"By viewing the video you agree that your data will be transferred to %platform% and that you have read the <a data-ajax-modal=""true"" data-url=""%url%"" href=""%url%"" title=""Privacy policy"">Privacy policy</a>."
component.product.quantitySelect.decrease|Decrease quantity
component.product.quantitySelect.increase|Increase quantity
component.product.quantitySelect.label|Quantity
contact.newsletterSubscribe|I hereby agree that TENTE may also inform me via e-mail and telephone about products and events (eg trade fair appearances) of TENTE.
contact.privacyNoticeText|"By selecting continue you confirm that you have read and agree to our <a data-ajax-modal=""true"" data-url=""%privacyUrl%"" href=""%privacyUrl%"" title=""Data protection information"">data protection information</a>."
cookie.groupComfortFeaturesYoutubeVideo|YouTube video
cookie.messageText|"This website uses cookies to ensure the best experience possible. <a data-ajax-modal=""true"" data-url=""%url%"" href=""%url%"" title=""More information"">More information...</a>"
detail.acrisProductDownloadBtnText|Download
detail.acrisProductDownloadNoPreview|No preview
detail.acrisProductDownloadTabLabel|Downloads
detail.acrisProductDownloadTitle|Downloads
